S1_min,S1_max,S2_min,S2_max,S3_min,S3_max,M1_min,M1_max,M2_min,M2_max,M3_min,M3_max,M4_min,M4_max,M5_min,M5_max,M6_min,M6_max,M7_min,M7_max,M8_min,M8_max,M9_min,M9_max,M10_min,M10_max,Indep._min,Indep._max
,4,,2,,1,,1,,,,3,,3,,2,,,,4,,3,,1,,3,,3
2,3,,,,4,2,3,,,,1,,2,,3,,3,,1,,4,,4,,,2,2
